CAL_MONTH_ID,cliente,Segmento,Ultimo_Movimento,Segmento_Oferta,Canal_Prioritário,CONCELHO,DISTRITO,Produto_nao_Telco,Periodo_Fidelização,Quantida_Produtos_Contrato,mensalidade_liquida,Atividade Economica [INE]
202207,931323730,MASS BUSINESS,Base,SÓ FIXO SEM TV,C1,TONDELA,VISEU,Não,-38,1,13.88,G - Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos
202207,875322903,MASS BUSINESS,Base,CONVERGENTE 4P/5P,C1,SANTA MARIA DA FEIRA,AVEIRO,Não,18,4,41.15,C - Indústrias transformadoras
202207,014142089,MASS BUSINESS,Gross Add,SÓ FIXO BASE TV,C11,GONDOMAR,PORTO,Não,24,3,29.26,"I - Alojamento, restauração e similares"
202207,071374939,MASS BUSINESS,Base,CONVERGENTE 4P/5P,C2,VILA VERDE,BRAGA,Não,16,7,73.72,G - Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos
202207,941931908,MASS BUSINESS,Base,CONVERGENTE 4P/5P,C2,ENTRONCAMENTO,SANTARÉM,Não,24,8,88.87,F - Construção
202207,318589345,MASS BUSINESS,Base,CONVERGENTE 4P/5P,C3,PONTE DE SOR,PORTALEGRE,Não,-43,5,47.24,K - Actividades financeiras e de seguros
202207,538233627,MASS BUSINESS,Base,SÓ FIXO BASE TV,C1,BORBA,ÉVORA,Não,15,3,20.98,G - Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos
202207,661589054,MASS BUSINESS,Base,SÓ FIXO BASE TV,C4,LISBOA,LISBOA,Não,3,6,53.49,J - Actividades de informação e de comunicação
202207,440591888,MASS BUSINESS,Base,CONVERGENTE 4P/5P,C3,BARREIRO,SETÚBAL,Sim,20,8,59.25,"I - Alojamento, restauração e similares"
202207,267494615,MASS BUSINESS,Base,SÓ FIXO BASE TV,C1,SEIXAL,SETÚBAL,Não,-2,4,35.79,K - Actividades financeiras e de seguros
202207,675465683,MASS BUSINESS,Base,SÓ FIXO SEM TV,C2,SINTRA,LISBOA,Não,-16,3,25.76,S - Outras actividades de serviços
202207,683542487,MASS BUSINESS,Base,FIXO E MÓVEL AVANÇADO (NCP),C1,ODIVELAS,LISBOA,Não,25,8,105.35,"I - Alojamento, restauração e similares"
202207,381341965,MASS BUSINESS,Var_Users,CONVERGENTE 4P/5P,C1,VILA FRANCA DE XIRA,LISBOA,Não,24,9,73.97,G - Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos
202207,093585638,MASS BUSINESS,Base,SÓ FIXO BASE TV,C1,ENTRONCAMENTO,SANTARÉM,Não,11,3,63.05,"I - Alojamento, restauração e similares"
202207,173225746,MASS BUSINESS,Base,CONVERGENTE 4P/5P,C2,SINTRA,LISBOA,Não,22,6,52.78,G - Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos
202207,948983157,MASS BUSINESS,Base,SÓ FIXO BASE TV,C1,VIANA DO CASTELO,VIANA DO CASTELO,Não,-3,3,30.45,F - Construção
202207,496929789,MASS BUSINESS,Base,SÓ FIXO SEM TV,C5,FUNCHAL,ILHA DA MADEIRA,Não,20,1,69.90,J - Actividades de informação e de comunicação
202207,520363219,MASS BUSINESS,Base,CONVERGENTE 4P/5P,C1,SINTRA,LISBOA,Não,14,6,63.30,F - Construção
202207,352519768,MASS BUSINESS,Base,SÓ FIXO BASE TV,C1,PÓVOA DE VARZIM,PORTO,Não,10,3,32.66,G - Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos
202207,997487830,MASS BUSINESS,Base,CONVERGENTE 4P/5P,C1,PONTE DE SOR,PORTALEGRE,Não,14,7,51.85,"A - Agricultura, produção animal, caça, floresta e pesca"
202207,831300186,MASS BUSINESS,Base,BASE VOZ MÓVEL,C2,PAÇOS DE FERREIRA,PORTO,Não,8,1,13.59,C - Indústrias transformadoras
202207,456926532,MASS BUSINESS,Base,CONVERGENTE 4P/5P,C1,PENALVA DO CASTELO,VISEU,Não,7,6,60.82,G - Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos
202207,758977366,MASS BUSINESS,Cross_Selling,CONVERGENTE 4P/5P,C3,SEIXAL,SETÚBAL,Não,24,7,54.13,N - Actividades administrativas e dos serviços de apoio
202207,412780858,MASS BUSINESS,Base,CONVERGENTE 4P/5P,C1,PORTO,PORTO,Não,19,5,55.19,G - Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos
